ParishID,Reconciliation_Times
573,"{""Saturday"": ""4:00 PM - 5:00 PM""}"
574,"{""General"": ""By request/appointment: call 212-734-4613"",""St. John Nepomucene"": {""Saturday"": ""4:30-5:00 PM"",""Sunday"": ""11:30 AM (Slovak) or by appointment""}}"
575,NA
576,"{""Saturday"": ""3:45 PM to 4:45 PM""}"
577,Saturday 3:00 PM to 3:45 PM
578,NA
579,NA
580,"{""Saturday"": ""4:30 PM - 5:00 PM"",""Sunday"": ""4:30 PM - 5:00 PM"",""Tuesday"": ""7:00 PM - 8:00 PM"",""First Tuesday of the Month"": ""5:00 PM - 5:30 PM"",""First Friday of the Month"": ""4:30 PM - 5:30 PM"",""By Appointment"": ""Contact parish office""}"
581,"{""Saturday"": ""12:30 PM - 1:30 PM"",""Other"": ""other times available by request""}"
582,Saturdays 3:30 PM or upon request
583,NA
584,NA
585,"Fridays from 5:00 PM to 6:00 PM (English/Espa\u00f1ol) in the chapel, and by request anytime in the Rectory."
586,3rd Saturday of each month from 4:00 PM - 5:00 PM or by appointment
587,"{""Saturday"": ""6:00 PM"",""Monday"": ""6:00 PM""}"
588,NA
589,Saturdays 4:00 PM \u2013 4:30 PM
590,"{""Saturday"": ""4:00 PM - 5:30 PM"",""By Appointment"": ""Available""}"
591,"{""Monday-Friday"": ""12:45 PM to 1:15 PM (OLV), 1:00 PM to 1:30 PM (St. Peter's Church)"",""Saturday"": ""3:15 PM to 3:45 PM (St. Peter's Church)""}"
592,Saturday from 3:00 PM to 4:00 PM and soon after the 4 PM Mass
593,"{""Monday"": ""11:40 AM to 11:55 AM"",""Wednesday"": ""11:40 AM to 11:55 AM"",""Friday"": ""11:40 AM to 11:55 AM"",""Tuesday"": ""7:20 AM to 7:40 AM"",""Thursday"": ""7:20 AM to 7:40 AM, 5:00 PM to 5:25 PM"",""Saturday"": ""4:30 PM to 4:50 PM""}"
594,"{""Saturday"": ""4:00 PM to 5:00 PM and by appointment""}"
595,Saturdays from 4:00 PM - 4:45 PM and any time upon request
596,"{""Saturday"": ""3:45 PM \u2013 4:30 PM (Sacristy)"",""Monday"": ""2:00 PM - 7:00 PM""}"
597,"{""Monday through Friday"": [""12:40 PM - 1:40 PM"",""5:00 PM - 5:30 PM""],""Saturday"": ""12:30 PM - 1:30 PM""}"
598,NA
599,"{""Saturday"": ""3:00 PM - 3:45 PM""}"
600,"{""Monday to Saturday"": ""7:30 AM to 8:00 AM"",""Friday"": ""8:00 PM to 9:00 PM"",""Saturday"": ""4:00 PM to 5:00 PM""}"
601,NA
602,NA
603,NA
604,NA
605,"{""Regular"": ""Saturday 4:00 PM - 5:00 PM"",""By Appointment"": ""Any time by appointment""}"
606,"{""Monday - Saturday"": ""7:30 AM"",""Thursday"": ""6:00 PM"",""Friday"": ""6:00 PM"",""Saturday"": ""4:00 PM""}"
607,"{""Saturday"": ""3:30 PM""}"
608,"{""Saturday"": ""4:00 PM to 5:00 PM""}"
609,NA
610,NA
611,"{""Regular"": ""4:15 PM - 4:45 PM"",""By Appointment"": ""Call the office""}"
612,Confessions are by appointment.
613,Saturday 4:00 PM to 5:00 PM in the Chapel or upon request
614,"{""Monday"": ""8:00 AM - 9:00 AM, 11:00 AM - 12:00 Noon, 4:30 PM - 5:30 PM"",""Tuesday"": ""8:00 AM - 9:00 AM, 11:00 AM - 12:00 Noon, 4:30 PM - 5:30 PM"",""Wednesday"": ""8:00 AM - 9:00 AM, 11:00 AM - 12:00 Noon, 4:30 PM - 5:30 PM"",""Thursday"": ""8:00 AM - 9:00 AM, 11:00 AM - 12:00 Noon, 4:30 PM - 5:30 PM"",""Friday"": ""8:00 AM - 9:00 AM, 11:00 AM - 12:00 Noon, 4:30 PM - 5:30 PM"",""Saturday"": ""10:00 AM - 11:00 AM"",""Sunday"": ""NA""}"
615,Saturdays from 1:00 PM to 2:00 PM in the Main Church Confessional or by appointment with one of the priests.
616,"{""Saturday"": ""4:30 PM to 5:30 PM in the Church or by appointment""}"
617,"{""Weekdays"": ""11:30 AM - 11:50 AM"",""Saturday"": {""Regular"": ""11:30 AM - 11:50 AM"",""Anticipated"": ""4:30 PM - 4:50 PM""}}"
618,"{""Saturday"": {""St. Joan of Arc"": ""4:45 PM - 5:15 PM (or by appointment)"",""Our Lady of Mt. Carmel"": ""3:30 PM - 4:00 PM""}}"
619,NA
620,"{""Monday to Friday"": ""7:00 PM to 7:30 PM"",""Saturday"": ""2:00 PM to 4:00 PM""}"
621,NA
622,"{""Sunday"": [""8:30 AM - 9:00 AM"",""11:00 AM - 11:30 AM"",""5:30 PM - 6:00 PM""],""Weekdays"": ""11:30 AM - 12:00 PM"",""Saturday"": ""11:30 AM - 12:00 PM and 4:30 PM - 5:15 PM""}"
623,NA
624,"{""Saturday"": ""3:15 PM - 3:45 PM""}"
625,"{""Monday"": ""4:00 PM to 7:00 PM"",""Friday"": ""4:00 PM to 7:00 PM""}"
626,"{""Saturday"": [""9:30 AM - 10:00 AM"",""11:00 AM - 11:45 AM""],""Reconciliation Monday"": [""2:00 PM - 4:00 PM"",""6:00 PM - 8:00 PM""]}"
627,"{""Saturday"": [""9:00 AM - 9:45 AM"",""2:30 PM""],""Other Days"": ""by appointment""}"
628,4:00 PM - 5:00 PM on Saturday and by appointment
629,"{""Saturday"": ""3:00 PM to 3:45 PM"",""Friday"": ""9:30 AM to 10:30 AM""}"
630,NA
631,"{""Saturday"": ""5:00 PM"",""By Appointment"": ""Anytime""}"
632,Every Saturday 5:30 PM to 6:30 PM
633,"{""Monday"": ""3:00 PM to 8:00 PM"",""Good Friday"": ""12:00 PM to 2:30 PM"",""Saturday"": ""3:00 PM to 3:45 PM"",""Friday"": ""7:00 PM to 8:00 PM""}"
634,"{""Saturday"": [""4:00 PM - 4:45 PM""],""Tuesday & Thursday"": [""Following the 12:10 PM Mass""]}"
635,NA
636,"{""Monday-Friday"": ""1:00 PM to 2:00 PM (St. Peter's Church)"",""Saturday"": ""3:15 PM to 3:45 PM (St. Peter's Church)""}"
637,Saturdays from 3:45 PM to 4:45 PM
638,By appointment only on Saturdays 4:00 PM - 4:30 PM or anytime upon request by calling the Parish Office
639,NA
640,"{""Saturday"": ""5:00 PM to 5:30 PM"",""By Appointment"": ""Available""}"
641,"{""Weekdays"": ""5:30 PM, before Mass"",""Sunday, holidays and celebrations"": ""before every Mass""}"
642,"{""Friday"": ""6:00 PM - 7:00 PM""}"
643,NA
644,"{""Saturday"": ""4:00 PM - 4:45 PM"",""By Request"": ""Available""}"
645,"{""St. Vincent Ferrer"": {""Weekdays"": ""5:15 PM - 6:00 PM"",""Wednesday"": ""7:15 PM - 7:55 PM"",""Saturday"": ""5:15 PM - 6:00 PM"",""Sunday"": [""7:45 AM - 8:00 AM"",""9:10 AM - 9:30 AM"",""11:30 AM - 12:00 PM"",""5:15 PM - 6:00 PM""]},""St. Catherine of Siena"": {""Weekdays"": ""4:40 PM - 5:05 PM"",""Saturday"": ""3:00 PM - 3:50 PM""}}"
646,Before Mass
647,NA
648,"{""Saturday"": ""3:00 PM - 4:30 PM"",""Thursday"": ""After 6:30 PM Holy Hour"",""Weekday"": ""Call during office hours for an appointment""}"
649,NA
650,"{""Thursday"": ""5:00 PM - 6:00 PM (Spanish)"",""Saturday"": ""3:30 PM - 4:30 PM""}"
651,"{""1st_Saturday"": ""5:30 PM""}"
652,NA
653,"{""1st Friday"": ""7:00 PM to 8:00 PM"",""Saturday"": ""4:00 PM to 4:45 PM"",""Additional"": ""Available upon request and by appointment""}"
654,"{""Saturday"": ""4:00 PM to 4:45 PM"",""Sunday"": ""7:45 AM to 8:20 AM""}"
655,"{""Saturday"": ""3:00 PM - 3:55 PM""}"
656,NA
657,"{""Sunday"": [""7:30 AM - 8:00 AM"",""9:50 AM - 10:30 AM""],""Monday"": [""7:30 AM - 8:00 AM""],""Tuesday"": [""7:30 AM - 8:00 AM""],""Wednesday"": [""7:30 AM - 8:00 AM""],""Thursday"": [""7:30 AM - 8:00 AM""],""Friday"": [""7:30 AM - 8:00 AM""],""Saturday"": [""7:30 AM - 8:00 AM""],""By Appointment"": ""In case of a serious need or general Confession, please contact the parish secretary.""}"
658,"{""Monday"": ""after 6:00 PM Mass"",""Tuesday"": ""after 12:00 PM Mass"",""Wednesday"": ""after 12:00 PM Mass"",""Thursday"": ""after 12:00 PM Mass"",""Saturday"": ""NA"",""Sunday"": ""NA""}"
659,"{""Thursday"": ""5:00 PM""}"
660,"{""Saturday"": [""5:15 PM (English)"",""6:00 PM (Spanish)""]}"
661,"{""Monday-Friday"": ""10:45 AM - 11:45 AM"",""Saturday"": ""3:00 PM"",""Sunday"": ""11:15 AM (or by appointment)""}"
662,"{""Regular"": ""Saturday at 3:30 PM or by appointment""}"
663,"{""Tuesday"": ""4:15 PM"",""Wednesday"": ""4:15 PM"",""Thursday"": ""4:15 PM"",""Saturday"": ""3:00 PM""}"
664,"{""Wednesday"": [""5:00 PM"",""9:00 PM""]}"
665,"{""Saturday"": ""3:00 PM - 4:00 PM at St. Patrick in Anadarko"",""Saturday_2"": ""5:00 PM - 5:20 PM at St. Richard in Carnegie"",""Sunday"": ""7:30 AM - 7:50 AM at Our Lady of the Rosary in Binger""}"
666,NA
667,"{""Saturday"": ""4:00 PM - 4:50 PM"",""Wednesday"": ""11:30 AM - 11:55 AM""}"
668,"{""Wednesdays"": ""6:00 PM - 7:30 PM"",""Saturdays"": ""3:30 PM - 4:30 PM"",""By Appointment"": ""NA""}"
669,"{""Saturday"": ""4:00 PM""}"
670,"{""Weekdays"": ""10:00 AM - 11:15 AM, 1:15 PM - 2:00 PM""}"
671,NA
672,NA
673,"{""Monday"": [""11:00 AM - 11:45 AM"",""4:00 PM - 4:45 PM""],""Tuesday"": [""11:00 AM - 11:45 AM"",""4:00 PM - 4:45 PM""],""Wednesday"": [""11:00 AM - 11:45 AM"",""4:00 PM - 4:45 PM""],""Thursday"": [""11:00 AM - 11:45 AM"",""4:00 PM - 4:45 PM""],""Friday"": [""11:00 AM - 11:45 AM"",""4:00 PM - 4:45 PM""],""Saturday"": [""11:00 AM - 11:45 AM"",""4:00 PM - 4:45 PM""]}"
674,"{""Saturday"": ""4:30 PM - 5:15 PM"",""Weekdays"": ""After Mass""}"
675,"{""Sunday"": ""5:20 PM to 5:50 PM"",""Monday"": ""NA"",""Tuesday"": ""NA"",""Wednesday"": ""6:20 PM to 6:50 PM"",""Thursday"": ""NA"",""Friday"": ""NA"",""Saturday"": ""4:00 PM to 4:30 PM""}"
676,"{""Wednesday"": ""6:30 PM - 7:30 PM"",""Saturday"": ""4:30 PM - 5:00 PM""}"
677,"{""Sunday"": ""9:30 AM to 10:20 AM"",""Wednesday"": ""11:00 AM to 11:50 AM"",""Thursday"": ""6:30 PM to 7:20 PM"",""Friday"": ""6:30 PM to 7:20 PM""}"
678,"{""Saturday"": ""3:00 PM - 3:30 PM"",""Sunday"": ""9:00 AM - 9:30 AM""}"
679,"{""Weekdays"": ""by appointment"",""Saturday"": ""4:00 PM - 4:35 PM""}"
680,"{""Wednesday"": ""5:00 PM - 6:00 PM"",""Saturday"": ""4:00 PM - 4:40 PM""}"
681,"{""Regular"": ""Saturday 4:25 PM - 4:45 PM"",""By_Appointment"": ""Call 713-672-7773""}"
682,"{""Wednesday"": ""5:00 PM - 6:00 PM"",""Saturday"": ""4:00 PM - 4:40 PM""}"
683,Saturdays 4:00 PM to 4:45 PM
684,"{""Wednesday"": ""6:00 PM - 6:45 PM"",""Thursday"": ""6:00 PM - 6:45 PM"",""Saturday"": ""4:00 PM - 4:45 PM""}"
685,"{""Tuesday"": ""6:00 PM to 7:00 PM"",""Saturday"": ""3:30 PM to 4:30 PM""}"
686,"{""Thursday"": ""8:00 PM - 9:00 PM"",""By Appointment"": ""Yes""}"
687,"{""Monday - Friday"": [""7:30 AM - 8:00 AM"",""11:30 AM - 12:00 PM""],""Tuesday"": ""6:00 PM - 7:00 PM"",""Saturday"": ""8:45 AM - 10:00 AM""}"
688,30 minutes before Mass or by appointment
689,NA
690,30 minutes before Mass
691,"{""Thursday"": ""9:45 AM - 10:45 AM"",""Saturday"": ""3:15 PM - 4:15 PM""}"
692,"{""Wednesday"": ""6:00 PM to 7:00 PM"",""Saturday"": ""3:30 PM to 5:00 PM""}"
693,NA
694,"{""Monday"": ""7:30 AM - 7:55 AM"",""Tuesday"": ""7:30 AM - 7:55 AM"",""Wednesday"": ""7:30 AM - 7:55 AM"",""Thursday"": ""7:30 AM - 7:55 AM"",""Friday"": ""6:15 PM - 6:45 PM"",""Saturday"": [""11:00 AM - 1:00 PM"",""5:15 PM - 5:45 PM""],""Sunday"": [""8:15 AM - 8:45 AM"",""10:15 AM - 10:45 AM""]}"
695,Saturday 5:00 PM - 5:45 PM
696,Thursday 6:30 PM - 7:30 PM; or by request
697,"{""Regular"": ""NA"",""Special"": ""No Confessions on December 25 and January 1""}"
698,"{""Monday to Friday"": ""30 minutes before daily masses or by appointment"",""Saturday"": ""5:30 pm \u2013 6:00 pm"",""Wednesday and First Friday of the Month"": ""During Adoration and after daily Mass at 6:30 pm""}"
699,"{""Saturday"": ""3:30 PM - 4:30 PM"",""December 9, 10, 11"": ""Following 7 PM Mass""}"
700,"{""Friday"": ""9:30 AM""}"
701,NA
702,"{""Saturday"": ""3:00 PM"",""FirstFriday"": ""4:30 PM""}"
703,Saturdays 9:00 AM - 10:00 AM
704,NA
705,Saturdays at 4:00 PM or call for an appointment
706,"{""Tuesday"": ""8:00-8:30 AM"",""Thursday"": ""8:00-8:30 AM"",""Friday"": ""8:00-8:30 AM"",""1st Saturday of the Month"": ""8:00-8:30 AM"",""Saturday"": ""3:30-4:30 PM""}"
707,NA
708,Friday 6:00 PM - 6:45 PM
709,"{""Friday"": ""3:30 PM - 4:30 PM"",""Saturday"": ""2:30 PM - 4:15 PM"",""Sunday"": [""7:45 AM - 8:15 AM"",""10:00 AM - 10:45 AM""]}"
710,"{""Wednesday"": ""8:00 - 8:45 AM"",""Friday"": [""5:30 - 6:15 PM"",""After Mass""],""Saturday"": ""2:30 - 3:45 PM""}"
711,"{""Monday"": ""11:00 AM - 11:45 AM"",""Tuesday"": ""4:00 PM - 5:40 PM""}"
712,"{""Saturday"": ""4:00 PM - 4:45 PM"",""Thursday"": ""6:00 PM - 6:45 PM""}"
713,Please call for appointment - 206-322-5970 for referral
714,NA
715,"{""Saturday"": ""2:30 PM - 3:30 PM St. Rose in Longview"",""Sunday"": ""8:00 AM - 8:20 AM St. Mary in Castle Rock"",""Tuesday"": ""11:30 AM - 12:00 PM Immaculate Heart of Mary in Kelso"",""Wednesday"": ""8:00 AM - 8:20 AM St. Mary in Castle Rock"",""Other"": ""Scheduled times every week, or by appointment""}"
716,"{""Wednesday"": ""After 9:00 AM"",""Saturday"": ""4:00 PM - 4:45 PM""}"
717,"{""Wednesday"": ""4:30 PM - 5:45 PM"",""Friday"": ""8:00 AM - 8:45 AM"",""Saturday"": ""9:45 AM - 11:00 AM""}"
718,"{""Saturday"": ""4:00 PM"",""1st Friday"": ""After Mass""}"
719,"{""Sunday"": [""4:00 PM - 4:45 PM"",""6:00 PM - 6:45 PM""],""Monday"": [],""Tuesday"": [],""Wednesday"": [""8:00 PM - 9:00 PM"",""by appointment""],""Thursday"": [],""Friday"": [],""Saturday"": []}"
720,"{""Daily"": ""30 minutes before Mass"",""Friday"": ""12:00 PM - 12:30 PM"",""Saturday"": ""12:00 PM - 12:30 PM"",""Sunday"": ""during Mass when second priest is available""}"
721,"{""Saturday"": ""4:00 PM - 4:30 PM""}"
722,Call for an appointment 253-875-6630
723,Please refer to the home page for the current Confession schedule.
724,Tuesday - Saturday: 30 minutes before Mass
725,"{""Friday"": ""8:30 AM - 9:00 AM"",""Saturday"": ""3:30 PM - 4:30 PM"",""By Appointment"": ""Available""}"
726,Saturdays at 3:30-4:30 PM or by appointment
727,"{""Friday"": [""after 9:00 AM Mass""],""Saturday"": [""4:00 PM""],""Wednesday"": [""5:30 PM""]}"
728,Saturday 3:00 PM to 3:45 PM
729,"{""Wednesday"": ""4:30 PM"",""Friday"": ""8:00 AM"",""Saturday"": [""10:00 AM"",""3:00 PM""]}"
730,"{""Tuesday"": ""5:00 PM - 5:45 PM"",""Saturday"": [""9:15 AM (After Mass)"",""4:00 PM - 4:45 PM (Before Mass)""]}"
731,Saturdays 3:30 PM
732,"{""St. Gabriel"": ""Sat: 3:30 PM - 4:30 PM"",""Prince of Peace"": ""N/A"",""St. Nicholas"": ""Thu: 5:00 PM - 5:45 PM""}"
733,NA
734,"{""Wednesday"": ""10:00 AM \u2013 11:00 AM"",""Saturday"": ""3:00 PM \u2013 4:00 PM""}"
735,NA
736,3:00 PM \u2013 4:00 PM on Saturdays
737,"{""Wednesday"": ""After 6:00 PM Mass until all are heard.""}"
738,by appointment before the Mass on Friday
739,"{""Saturdays"": [""after 9:00 AM Mass"",""3:00 PM - 4:45 PM""],""By Appointment"": true}"
740,"{""Thursday"": ""4:00 PM to 6:30 PM"",""Saturday"": ""5:00 PM to 6:30 PM""}"
741,Saturdays 3:30 PM
742,"{""Saturday"": ""3:00 PM - 3:45 PM"",""Tuesday"": ""9:30 AM - 10:30 AM""}"
743,Saturday 4:00 PM - 4:45 PM
744,NA
745,"Saturday evening Confession & vigil Mass will be moved from the central region to the east region effective January 1, 2025."
746,"{""Wednesday"": ""5:00 PM"",""Saturday"": ""3:30 PM""}"
747,NA
748,"{""Wednesday"": ""5:30 PM - 6:30 PM"",""Thursday"": [""8:30 AM - 9:30 AM"",""5:00 PM - 7:00 PM""],""First Friday"": ""7:30 PM - 8:30 PM"",""Saturday"": ""3:00 PM - 4:30 PM""}"
749,"{""Saturday"": ""4:00 PM - 4:30 PM"",""By Appointment"": ""Call the parish office (360) 675-2303 Ext. 2 for the priest""}"
750,"{""Thursday"": ""5:00 PM - 5:45 PM"",""Other"": ""By Appointment""}"
751,"{""Daily"": ""7:45 AM - 8:15 AM (except Tuesdays and Sundays)"",""Saturday"": ""2:30 PM - 4:00 PM""}"
752,"{""Saturday"": ""3:00 PM - 4:00 PM"",""By Appointment"": ""Yes""}"
753,"{""Monday"": ""8:00 AM - 8:45 AM"",""Wednesday"": ""4:00 PM - 5:40 PM""}"
754,Saturday: 3:00 PM to 4:00 PM or call for an appointment
755,"{""Monday"": ""10:00 AM - 10:15 AM"",""Wednesday"": ""5:15 PM - 5:45 PM"",""Saturday"": ""4:00 PM - 4:45 PM""}"
756,"{""Saturday"": ""3:30 PM - 4:30 PM at St. Columban"",""Sunday"": ""7:00 AM - 7:45 AM at St. Peter"",""By appointment"": ""Call 360-458-3031 x6""}"
757,5:15 PM
758,"{""Saturday"": ""3:00 PM"",""Weekdays"": ""T,W,F ~ 1:30-3:30 PM""}"
759,"{""Thursday"": [""4:00 PM - 6:00 PM""],""Saturday"": [""3:00 PM - 4:45 PM""],""First Saturday"": [""8:00 AM - 9:00 AM""]}"
760,Saturday: 4:00 PM - 4:30 PM
761,Confessions start 30 minutes prior to Mass
762,NA
763,4:00 PM on Saturday or by appointment
764,NA
765,"{""Saturday"": ""3:30 PM - 4:30 PM""}"
766,Saturday 4:00 PM - 5:00 PM
767,4:30 PM Saturday or by appointment
768,NA
769,"{""Monday"": ""11:00 AM - 11:45 AM"",""Tuesday"": ""4:00 PM - 5:40 PM""}"
770,NA
771,NA
772,NA
773,"{""St. Joseph"": {""Saturday"": ""4:00 PM"",""Wednesday"": ""5:00 PM""},""St. Peter"": {""Sunday"": ""8:00 AM""}}"
774,"{""Tuesdays"": ""4:30 PM \u2013 5:30 PM"",""By Appointment"": ""NA""}"
775,30 minutes prior to each Mass and as needed after Mass.
776,"{""Tuesday"": ""5:00 PM - 6:00 PM"",""Thursday"": ""7:30 AM - 8:15 AM"",""By Appointment"": ""Call (360) 696-4407""}"
777,"{""Wednesdays"": ""8:30 AM - 8:50 AM"",""Fridays"": ""6:00 PM - 6:45 PM (during Lent)"",""Saturdays"": ""3:30 PM - 4:30 PM"",""Parish Penance Service"": ""December 16 at 7:00 PM""}"
778,Saturday 4:00 PM \u2013 4:40 PM
779,"{""Regular"": ""30 minutes before each Mass"",""Saturday"": ""4:00-5:00 PM"",""FirstFridays"": ""8:00-10:00 PM""}"
780,"{""Wednesday"": ""5:00 PM - 6:00 PM"",""Saturday"": ""3:00 PM - 4:30 PM""}"
781,"{""Fridays"": ""Following 8:00 AM Mass"",""Saturdays"": ""NA""}"
782,NA
783,"{""First Saturday"": ""8:30 AM - 8:45 AM, then after the 9:00 AM Mass until all are heard"",""Wednesday"": ""8:30 AM until 9:00 AM Mass"",""Friday"": ""8:30 AM until 9:00 AM Mass""}"
784,"{""Saturday"": ""4:00 PM - 4:45 PM"",""First Friday"": ""7:00 PM - 8:45 PM"",""By Appointment"": ""(360)794-8945""}"
785,"{""Tuesday"": ""11:15 \u2013 11:45 AM"",""Wednesday"": ""4:45 \u2013 5:15 PM"",""Thursday"": ""11:15 \u2013 11:45 AM"",""Saturday"": ""10:00 \u2013 11:00 AM (after Mass)""}"
786,"{""Saturday"": ""2:30 PM - 3:30 PM St. Rose in Longview"",""Sunday"": ""8:00 AM - 8:20 AM St. Mary in Castle Rock"",""Tuesday"": ""11:30 AM - 12:00 PM Immaculate Heart of Mary in Kelso"",""Wednesday"": ""8:00 AM - 8:20 AM St. Mary in Castle Rock"",""General"": ""Scheduled times every week, or by appointment""}"
787,"{""Saturday"": ""4:00 PM - 4:30 PM"",""By Appointment"": ""Call the parish office (360) 675-2303 Ext. 2 for the priest""}"
788,"{""Monday"": [""8:00 AM - 8:45 AM St. Cecilia Stanwood"",""11:00 AM - 11:45 AM Immaculate Conception Arlington""],""Tuesday"": [""4:00 PM - 5:40 PM Immaculate Conception Arlington""],""Wednesday"": [""4:00 PM - 5:40 PM St. Cecilia Stanwood""],""Thursday"": [""3:00 PM - 5:40 PM St. Mary Marysville""],""Friday"": [""11:15 AM - 12:30 PM St. Mary Marysville"",""6:00 PM - 9:00 PM St. Mary Marysville (First Friday of the month)""]}"
789,"{""Times"": ""Tuesday 4:30 PM to 5:30 PM or by appointment"",""Phone"": ""206-324-2522""}"
790,NA
791,"{""Saturday"": ""4:00 PM or by appointment""}"
792,"{""Thursday"": [""11:00 AM"",""5:00 PM""],""Saturday"": ""3:00 PM - 4:45 PM""}"
793,"{""Wednesday"": ""6:30 PM"",""Saturday"": ""9:00 AM - 10:00 AM""}"
794,"{""Monday - Saturday"": ""7:15 AM - 7:35 AM"",""Friday"": ""6:00 PM - 7:00 PM"",""Saturday"": ""3:30 PM - 4:30 PM"",""Sunday (Chinese)"": ""12:30 PM - 12:50 PM"",""Additional Advent Reconciliation"": ""Saturday, December 21, from 10:30 AM - 11:30 AM""}"
795,"{""Thursday"": ""5:00 PM - 5:45 PM"",""Saturday"": ""3:30 PM - 4:30 PM""}"
796,NA
797,20 minutes before Mass
798,"{""Saturday"": ""3:00 PM - 3:45 PM"",""By Appointment"": ""Available""}"
799,"{""Saturday"": ""4:30 PM - 5:00 PM""}"
800,NA
801,"{""Sunday"": ""7:30 AM - 7:45 AM or by Appointment"",""Saturday"": ""3:30 PM - 4:30 PM""}"
802,3:00 PM to 4:30 PM Saturdays
803,NA
804,"{""Saturday"": ""3:00 PM""}"
805,NA
806,NA
807,"{""Saturday"": ""5:30 PM \u2013 6:00 PM"",""Sunday"": ""10:30 AM \u2013 11:00 AM"",""Wednesday"": ""6:30 PM \u2013 7:00 PM"",""Friday"": ""6:30 PM \u2013 7:00 PM""}"
808,"30 minutes before each Mass, after Mass, and by appointment."
809,NA
810,"{""Saturday"": ""3:00 PM - 3:45 PM""}"
811,"{""Wednesday"": ""6:00 PM - 6:45 PM"",""Saturday"": ""4:15 PM - 5:15 PM""}"
812,NA
813,"{""Fridays"": ""6:00 PM - 7:00 PM"",""Weekend"": ""1/2 hour before each weekend Mass (except the Saturday 8 AM Mass)"",""Upon Request"": ""Contact the rectory office""}"
814,"{""Saturday"": ""4:15 PM to 5:15 PM or by appointment"",""Monday to Friday"": ""4:00 PM to 8:30 PM""}"
815,NA
816,"{""Saturday"": [""4:30 PM - 5:15 PM"",""or by appointment""]}"
817,"{""Weekdays"": ""20 minutes before weekday Masses and immediately following Mass"",""Weekends"": ""30 minutes before weekend Masses, Thursday at 7:15 PM"",""Saturday"": ""5:00 PM"",""Sunday"": ""8:30 AM, 10:30 AM, 5:30 PM"",""Monday"": ""7:10 AM, 8:00 AM"",""Tuesday"": ""6:10 PM, 7:00 PM"",""Wednesday"": ""7:10 AM, 8:00 AM"",""Thursday"": ""6:10 PM, 7:15 PM"",""Friday"": ""7:10 AM, 8:00 AM""}"
818,"{""Saturday"": ""3:00 PM - 4:00 PM""}"
819,Before each Divine Liturgy and by appointment
820,"Saturday, 4:00 PM - 5:00 PM or Anytime by Appointment"
821,By appointment or call the Parish Office
822,"{""Tuesday"": ""6:00 PM to 7:00 PM (English & Spanish)"",""Saturday"": [""12:00 PM to 1:00 PM (English)"",""6:30 PM to 7:00 PM (Spanish)""]}"
823,"{""Sunday"": ""6:00 PM to 8:00 PM"",""Wednesday"": ""6:00 PM to 7:00 PM"",""Saturday"": ""4:00 PM to 6:00 PM or by appointment""}"
824,"{""Sunday"": ""4:00 PM to 4:50 PM"",""Tuesday"": [""7:30 AM after the Mass"",""1:45 PM to 2:45 PM""],""Friday"": ""7:30 AM after the Mass"",""Saturday"": ""4:00 PM to 4:50 PM""}"
825,NA
826,"{""Saturday"": ""4:00 PM - 4:45 PM"",""Wednesday"": ""8:00 PM - 9:00 PM"",""By Appointment"": ""Call the parish office""}"
827,NA
828,"{""Saturday"": ""3:15 PM to 4:00 PM"",""By Appointment"": ""Available""}"
829,NA
830,"{""Wednesday"": ""8:30 AM to 9:15 AM"",""Saturday"": ""3:00 PM to 3:45 PM or by appointment""}"
831,"{""Resurrection"": [""Every Friday, 4:30 PM \u2013 6:30 PM"",""First Saturday of each month, 7:30 AM \u2013 8:30 AM""],""Riderwood Chapel"": ""First Wednesday, 2:00 PM""}"
832,"{""Sunday"": ""7:30 AM to 7:50 AM"",""Friday"": ""8:30 AM to 9:00 AM"",""Saturday"": ""2:45 PM to 3:15 PM""}"
833,NA
834,"20 minutes before Mass, by request to the priest."
835,"{""Monday"": ""6:00 PM to 7:45 PM"",""Saturday"": ""3:00 PM to 4:00 PM"",""By Appointment"": ""Yes""}"
836,"{""Saturday"": [""8:15 AM - 9:15 AM"",""3:30 PM - 4:30 PM""],""Wednesday"": [""5:30 PM - 7:00 PM""]}"
837,NA
838,NA
839,"{""Saturday"": [""3:00 PM - 5:00 PM""]}"
840,"{""Sunday"": [""7:00 AM to 7:30 AM"",""10:00 AM to 10:30 AM""],""Saturday"": [""9:45 AM to 10:45 AM"",""4:00 PM to 4:30 PM"",""by appointment""],""1st Friday"": [""9:30 AM to 10:30 AM""],""1st Saturday"": [""9:30 AM to 10:30 AM""]}"
841,Available during Wednesday's Mass
842,Saturday: 3:00 PM to 4:00 PM
843,"{""1st Friday"": ""8:30 AM"",""Saturday"": ""8:30 AM or by appointment""}"
844,Saturdays 4:00 PM - 6:00 PM and during Sunday Masses. Also available by appointment.
845,"{""Sunday"": [""7:40 AM"",""9:40 AM""],""Tuesday"": [""7:05 AM to 7:35 AM"",""4:30 PM to 5:00 PM""],""Wednesday"": [""7:05 AM to 7:35 AM"",""4:30 PM to 5:00 PM""],""Friday"": [""7:05 AM to 7:35 AM"",""4:30 PM to 5:00 PM""],""Saturday"": [""4:00 PM to 4:45 PM""]}"
846,Saturdays 3:00-3:45 PM or by appointment
847,"{""Monday - Friday"": ""11:45 AM"",""Saturday"": ""5:00 PM"",""Any other time"": ""By appointment""}"
